EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
054959,0549590000,0549599999,FRTE,ZNE Poitiers,01/01/2017
054960,0549600000,0549609999,FRTE,ZNE Poitiers,01/01/2017
054961,0549610000,0549619999,FRTE,ZNE Poitiers,01/01/2017
054962,0549620000,0549629999,FRTE,ZNE Poitiers,01/01/2017
054963,0549630000,0549639999,FRTE,ZNE Parthenay,01/01/2017
054964,0549640000,0549649999,FRTE,ZNE Parthenay,01/01/2017
054965,0549650000,0549659999,FRTE,ZNE Bressuire,01/01/2017
054966,0549660000,0549669999,FRTE,ZNE Thouars,01/01/2017
054967,0549670000,0549679999,FRTE,ZNE Thouars,01/01/2017
054968,0549680000,0549689999,FRTE,ZNE Thouars,01/01/2017
054969,0549690000,0549699999,FRTE,ZNE Parthenay,01/01/2017
054970,0549700000,0549709999,FRTE,ZNE Parthenay,01/01/2017
054971,0549710000,0549719999,FRTE,ZNE Parthenay,01/01/2017
054972,0549720000,0549729999,FRTE,ZNE Bressuire,01/01/2017
054973,0549730000,0549739999,FRTE,ZNE Niort,01/01/2017
054974,0549740000,0549749999,FRTE,ZNE Bressuire,01/01/2017
054975,0549750000,0549759999,FRTE,ZNE Niort,01/01/2017
054976,0549760000,0549769999,FRTE,ZNE Niort,01/01/2017
054977,0549770000,0549779999,FRTE,ZNE Niort,01/01/2017
054978,0549780000,0549789999,FRTE,ZNE Niort,01/01/2017
054979,0549790000,0549799999,FRTE,ZNE Niort,01/01/2017
054980,0549800000,0549809999,FRTE,ZNE Bressuire,01/01/2017
054981,0549810000,0549819999,FRTE,ZNE Bressuire,01/01/2017
054982,0549820000,0549829999,FRTE,ZNE Bressuire,01/01/2017
054983,0549830000,0549839999,FRTE,ZNE Montmorillon,01/01/2017
054984,0549840000,0549849999,FRTE,ZNE Montmorillon,01/01/2017
054985,0549850000,0549859999,FRTE,ZNE Châtellerault,01/01/2017
054986,0549860000,0549869999,FRTE,ZNE Châtellerault,01/01/2017
054987,0549870000,0549879999,FRTE,ZNE Civray,01/01/2017
054988,0549880000,0549889999,FRTE,ZNE Poitiers,01/01/2017
054989,0549890000,0549899999,FRTE,ZNE Poitiers,01/01/2017
054990,0549900000,0549909999,FRTE,ZNE Châtellerault,01/01/2017
054991,0549910000,0549919999,FRTE,ZNE Montmorillon,01/01/2017
054992,0549920000,0549929999,FRTE,ZNE Poitiers,01/01/2017
054993,0549930000,0549939999,FRTE,ZNE Châtellerault,01/01/2017
054994,0549940000,0549949999,FRTE,ZNE Parthenay,01/01/2017
