EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
054400,0544000000,0544009999,FRTE,ZNE Limoges,01/01/2017
054401,0544010000,0544019999,FRTE,Sud Ouest,01/01/2017
054402,0544020000,0544029999,FRTE,Sud Ouest,01/01/2017
054403,0544030000,0544039999,FRTE,Sud Ouest,01/01/2017
054404,0544040000,0544049999,FRTE,Sud Ouest,01/01/2017
054405,0544050000,0544059999,FRTE,Sud Ouest,01/01/2017
054406,0544060000,0544069999,FRTE,Sud Ouest,01/01/2017
054407,0544070000,0544079999,FRTE,Sud Ouest,01/01/2017
054408,0544080000,0544089999,FRTE,Sud Ouest,01/01/2017
054409,0544090000,0544099999,FRTE,Sud Ouest,01/01/2017
054410,0544100000,0544109999,FRTE,Sud Ouest,01/01/2017
054411,0544110000,0544119999,FRTE,Sud Ouest,01/01/2017
054412,0544120000,0544129999,FRTE,Sud Ouest,01/01/2017
054413,0544130000,0544139999,FRTE,Sud Ouest,01/01/2017
054414,0544140000,0544149999,FRTE,Sud Ouest,01/01/2017
054415,0544150000,0544159999,FRTE,Sud Ouest,01/01/2017
